rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.203697,0.089350,9.833136,0.016121,0.017894,0.002147,0.000000,0.000000
-0.203452,0.089454,9.832822,-0.012641,0.001916,0.000016,0.000000,0.000000
-0.203289,0.089581,9.832570,0.007599,-0.000215,0.008538,0.000000,0.000000
-0.203169,0.089637,9.832222,-0.007315,0.018960,0.013865,0.000000,0.000000
-0.203174,0.089601,9.831840,-0.000923,-0.002346,-0.011702,0.000000,0.000000
-0.203198,0.089481,9.831563,0.003338,0.022156,0.005343,0.000000,0.000000
-0.203211,0.089448,9.831326,0.002273,0.013633,0.014930,0.000000,0.000000
-0.203306,0.089393,9.831100,0.001207,0.016829,0.011734,0.000000,0.000000
-0.203394,0.089126,9.830873,0.002273,-0.004476,0.004277,0.000000,0.000000
-0.203411,0.088953,9.830669,0.003338,-0.008737,0.006408,0.000000,0.000000
-0.203438,0.088777,9.830385,-0.005184,0.010438,0.018126,0.000000,0.000000
-0.203407,0.088557,9.830091,0.008664,0.012568,-0.005310,0.000000,0.000000
-0.203327,0.088359,9.829789,-0.005184,0.000850,-0.003180,0.000000,0.000000
-0.203234,0.088148,9.829525,0.015056,0.011503,0.004277,0.000000,0.000000
-0.203130,0.088027,9.829227,-0.012641,-0.015129,0.006408,0.000000,0.000000
-0.203137,0.087967,9.828954,-0.009445,0.008307,0.001081,0.000000,0.000000
-0.203201,0.087833,9.828710,-0.009445,-0.003411,-0.004245,0.000000,0.000000
-0.203021,0.087804,9.828499,-0.001988,0.015764,-0.008506,0.000000,0.000000
-0.202823,0.087777,9.828426,0.019317,0.008307,-0.002114,0.000000,0.000000
-0.202506,0.087794,9.828475,0.012925,0.010438,0.021321,0.000000,0.000000
-0.202336,0.087843,9.828590,-0.005184,-0.001280,-0.012767,0.000000,0.000000
-0.202132,0.087744,9.828727,0.004403,0.006177,0.000016,0.000000,0.000000
-0.201819,0.087601,9.828791,-0.006249,-0.001280,-0.021289,0.000000,0.000000
-0.201412,0.087373,9.828816,0.017186,0.011503,0.004277,0.000000,0.000000
-0.201120,0.087165,9.828811,0.000142,-0.000215,-0.004245,0.000000,0.000000
-0.200763,0.087007,9.828792,0.012925,0.013633,0.015995,0.000000,0.000000
-0.200331,0.086766,9.828761,0.004403,-0.018324,0.013865,0.000000,0.000000
-0.199901,0.086540,9.828749,0.010795,0.002981,0.000016,0.000000,0.000000
-0.199403,0.086429,9.828707,-0.013706,0.007242,0.008538,0.000000,0.000000
-0.198979,0.086462,9.828667,0.001207,0.022156,-0.017028,0.000000,0.000000
-0.198606,0.086484,9.828607,0.008664,-0.024716,0.002147,0.000000,0.000000
-0.198252,0.086433,9.828629,-0.008380,0.008307,-0.007441,0.000000,0.000000
-0.197995,0.086376,9.828699,0.005468,0.006177,0.012799,0.000000,0.000000
-0.197783,0.086339,9.828856,-0.006249,0.011503,-0.008506,0.000000,0.000000
-0.197651,0.086250,9.829102,-0.013706,-0.012998,0.003212,0.000000,0.000000
-0.197691,0.086230,9.829328,0.011860,0.009372,0.004277,0.000000,0.000000
-0.197690,0.086252,9.829532,0.005468,0.016829,-0.017028,0.000000,0.000000
-0.197714,0.086214,9.829727,-0.004119,0.010438,-0.022354,0.000000,0.000000
