序号,时间戳,帧类型,帧格式,状态,数据长度, 数据(D0 - D7),ID,
621,16:57:54.8130897,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
622,16:57:54.8130897,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
623,16:57:54.9530608,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
624,16:57:54.9530608,标准帧,数据帧,接收,3,01 02 6B,1,
625,16:57:54.9992386,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
626,16:57:54.9992386,标准帧,数据帧,接收,3,02 02 6B,2,
627,16:57:55.4400611,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
628,16:57:55.4400611,标准帧,数据帧,接收,3,01 02 6B,1,
629,16:57:55.4870214,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
630,16:57:55.9277995,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
631,16:57:55.9277995,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
632,16:57:55.9926369,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
633,16:57:56.3911301,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
634,16:57:56.3911301,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
635,16:57:56.4549355,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
636,16:57:56.4549355,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
637,16:57:56.8491081,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
638,16:57:56.8951544,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
639,16:57:56.8951544,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
640,16:57:56.8951544,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
641,16:57:57.3486146,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
642,16:57:57.3486146,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
643,16:57:57.3966145,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
644,16:57:57.3966145,标准帧,数据帧,接收,3,02 02 6B,2,
645,16:57:57.8133361,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
646,16:57:57.8324107,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
647,16:57:57.8550747,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
648,16:57:58.2719246,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
649,16:57:58.2939246,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
650,16:57:58.3119425,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
651,16:57:58.3339457,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
652,16:57:58.7503933,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
653,16:57:58.7719969,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
654,16:57:58.7719969,标准帧,数据帧,接收,3,01 02 6B,1,
655,16:57:58.8110487,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
656,16:57:59.2287129,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
657,16:57:59.2488398,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
658,16:57:59.2738231,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
659,16:57:59.2938231,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
